iter	Passed	Remaining
0	121	121850
1	124	61990
2	127	42234
3	129	32159
4	131	26089
5	133	22085
6	136	19350
7	138	17137
8	140	15520
9	142	14141
10	144	13002
11	146	12079
12	148	11279
13	150	10601
14	152	10017
15	154	9499
16	156	9057
17	158	8644
18	160	8273
19	162	7939
20	165	7704
21	167	7439
22	169	7187
23	171	6962
24	173	6755
25	175	6562
26	177	6398
27	179	6235
28	181	6083
29	184	5954
30	186	5824
31	188	5701
32	190	5584
33	192	5478
34	194	5366
35	196	5259
36	198	5157
37	199	5062
38	201	4969
39	203	4879
40	205	4804
41	208	4755
42	210	4686
43	213	4631
44	214	4560
45	216	4497
46	218	4439
47	220	4383
48	223	4346
49	226	4295
50	228	4244
51	230	4193
52	232	4145
53	233	4098
54	236	4056
55	238	4020
56	240	3976
57	242	3936
58	244	3903
59	246	3865
60	248	3829
61	251	3802
62	253	3772
63	255	3739
64	258	3711
65	260	3682
66	262	3651
67	264	3621
68	266	3593
69	268	3563
70	270	3538
71	272	3514
72	274	3490
73	276	3462
74	278	3440
75	281	3419
76	283	3398
77	285	3373
78	287	3353
79	289	3333
80	292	3314
81	294	3298
82	295	3268
83	297	3247
84	300	3233
85	302	3214
86	304	3195
87	306	3179
88	309	3167
89	311	3151
90	313	3135
91	315	3118
92	319	3116
93	321	3099
94	324	3088
95	326	3074
96	328	3057
97	331	3047
98	332	3030
99	334	3013
100	336	2996
101	339	2984
102	341	2973
103	343	2958
104	345	2944
105	347	2930
106	349	2916
107	351	2903
108	354	2894
109	356	2885
110	358	2871
111	360	2858
112	362	2848
113	364	2835
114	366	2822
115	369	2812
116	371	2802
117	373	2789
118	375	2777
119	376	2763
120	378	2753
121	380	2738
122	382	2729
123	384	2718
124	387	2710
125	389	2699
126	390	2686
127	392	2676
128	394	2665
129	397	2658
130	399	2650
131	401	2642
132	403	2632
133	405	2622
134	407	2613
135	410	2605
136	412	2596
137	414	2587
138	416	2578
139	418	2571
140	420	2561
141	421	2549
142	424	2541
143	426	2535
144	428	2528
145	431	2521
146	433	2514
147	435	2507
148	437	2499
149	439	2491
150	441	2484
151	444	2477
152	446	2469
153	448	2461
154	450	2454
155	452	2446
156	454	2440
157	456	2434
158	459	2428
159	461	2421
160	462	2410
161	464	2404
162	466	2397
163	469	2390
164	471	2384
